"Station Number ▲"	"Station Name"	"Type"	"State"	"County"	"Active"	"OldStationNumber"	"Link"
"CO-GN-1 "	" "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	"GN1"	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-1 "
"CO-GN-2 "	"Marble .9 N "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	"GN2"	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-2 "
"CO-GN-3 "	"Crested Butte 1.9 ESE "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	"GN3"	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-3 "
"CO-GN-11 "	"Almont 11 NE "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-11 "
"CO-GN-12 "	"Gunnison 3.1 N "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-12 "
"CO-GN-13 "	"Almont 6.33 NE "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-13 "
"CO-GN-14 "	"Gunnison 7.9 WSW "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-14 "
"CO-GN-15 "	"Gunnison 1.7 W "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-15 "
"CO-GN-16 "	"Gunnison 3.3 NW "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-16 "
"CO-GN-17 "	"Gunnison 0.7 NNW "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-17 "
"CO-GN-18 "	"Crested Butte 6.2 N "	"CoCoRaHS "	"CO"	"Gunnison"	"Yes"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-18 "
"CO-GN-19 "	"Gunnison 3.2 N "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-19 "
"CO-GN-20 "	"Crested Butte 0.5 ENE "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-20 "
"CO-GN-21 "	"Crested Butte 5.8 W "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-21 "
"CO-GN-22 "	"Pitkin 8.0 ESE "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-22 "
"CO-GN-23 "	"Pitkin 8.0 ESE "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-23 "
"CO-GN-24 "	"Marble 0.2 ENE "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-24 "
"CO-GN-25 "	"Marble 0.2 W "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-25 "
"CO-GN-26 "	"Marble 0.2 W "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-26 "
"CO-GN-27 "	"Gunnison 0.3 SW "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-27 "
"CO-GN-28 "	"Gunnison 0.2 SE "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-28 "
"CO-GN-29 "	"Gunnison 9.7 ESE "	"CoCoRaHS "	"CO"	"Gunnison"	"No"	" "	"https://www.cocorahs.org/Stations/Station.aspx?StationNumber=CO-GN-29 "
